Michael Chavis,PIT,129,401,39,92,16,3,14,49,1,1,19,126,2,4,1,chavimi01
Robbie Grossman,TOT,129,411,40,86,19,1,7,45,6,2,56,129,6,4,0,grossro01
Gavin Lux,LAD,129,421,66,116,20,7,6,42,7,2,47,95,0,3,0,luxga01
MJ Melendez,KCR,129,460,57,100,21,3,18,62,2,3,66,131,1,7,1,melenmj01
Dylan Carlson,STL,128,432,56,102,30,4,8,42,5,2,45,94,7,4,1,carlsdy01
Hunter Dozier,KCR,128,462,51,109,26,4,12,41,4,3,34,125,3,1,0,doziehu01
Gary Sanchez,MIN,128,419,42,86,24,0,16,61,2,0,40,136,7,5,0,sanchga02
Raimel Tapia,TOR,128,411,47,109,20,3,7,52,8,2,16,81,0,1,0,tapiara01
Justin Turner,LAD,128,468,61,130,36,0,13,81,3,0,50,89,6,8,1,turneju01
Jonah Heim,TEX,127,406,51,92,20,1,16,48,2,0,41,87,1,2,0,heimjo01
Luis Rengifo,LAA,127,489,45,129,22,4,17,52,6,2,17,79,4,0,0,rengilu01
Bryson Stott,PHI,127,427,58,100,19,2,10,49,12,4,36,89,1,1,0,stottbr01
Andrew Benintendi,TOT,126,461,54,140,23,3,5,51,8,3,52,77,2,5,0,beninan01
Brendan Donovan,STL,126,391,64,110,21,1,5,45,2,3,60,70,14,2,1,donovbr01
Joey Gallo,TOT,126,350,48,56,8,2,19,47,3,0,56,163,3,1,0,gallojo01
Kole Calhoun,TEX,125,388,36,76,14,1,12,49,3,2,27,136,6,3,0,calhoko01
DJ LeMahieu,NYY,125,467,74,122,18,0,12,46,4,3,67,71,4,2,0,lemahdj01
Jose Miranda,MIN,125,444,45,119,25,0,15,66,1,1,28,91,10,1,0,miranjo01
Hunter Renfroe,MIL,125,474,62,121,23,1,29,72,1,1,39,121,4,3,1,renfrhu01
Josh Rojas,ARI,125,443,66,119,25,1,9,56,23,3,55,98,2,5,2,rojasjo01
Austin Slater,SFG,125,277,49,73,15,2,7,34,12,1,40,89,6,2,0,slateau01
Andrew Velazquez,LAA,125,322,37,63,8,0,9,28,17,1,15,119,3,3,0,velazan01
Jeimer Candelario,DET,124,429,49,93,19,2,13,50,0,1,28,109,6,4,1,candeje01
Nelson Cruz,WSN,124,448,50,105,16,0,10,64,4,0,49,119,4,3,1,cruzne02
Marcell Ozuna,ATL,124,470,56,106,19,0,23,56,2,1,31,122,2,4,0,ozunama01
Gavin Sheets,CHW,124,377,34,91,19,0,15,53,0,0,27,86,3,3,0,sheetga01
Michael A. Taylor,KCR,124,414,49,105,10,3,9,43,4,2,35,109,2,3,0,taylomi02
Gilberto Celestino,MIN,122,311,30,74,12,1,2,24,4,1,32,77,2,0,0,celesgi01
Josh Naylor,CLE,122,449,47,115,28,0,20,79,6,1,38,80,6,5,4,naylojo01
Lourdes Gurriel Jr.,TOR,121,453,52,132,32,1,5,52,3,4,31,83,6,2,1,gurrilo01
Harold Castro,DET,120,420,37,114,21,2,7,47,0,1,17,79,1,2,1,castrha01
Harold Ramirez,TBR,120,403,46,121,24,0,6,58,3,5,19,72,9,4,1,ramirha02
Tyrone Taylor,MIL,120,373,49,87,21,3,17,51,3,2,22,102,7,3,0,tayloty01
Ronald Acuna Jr.,ATL,119,467,71,124,24,0,15,50,29,11,53,126,10,3,4,acunaro01
Garrett Cooper,MIA,119,414,37,108,33,2,9,50,0,0,40,119,10,5,0,coopega03
Adam Engel,CHW,119,245,32,55,13,1,2,17,12,4,11,76,4,0,1,engelad01
Josh Harrison,CHW,119,386,50,99,19,2,7,27,2,1,21,71,14,2,0,harrijo05
Chas McCormick,HOU,119,359,47,88,12,2,14,44,4,3,46,106,1,1,0,mccorch01
Cal Raleigh,SEA,119,370,46,78,20,1,27,63,1,0,38,122,2,5,0,raleica01
Mike Trout,LAA,119,438,85,124,28,2,40,80,1,0,54,139,6,1,8,troutmi01
Luis Urias,MIL,119,406,54,97,17,1,16,47,1,2,50,99,11,5,0,uriaslu01
Christian Vazquez,TOT,119,398,41,109,23,0,9,52,1,4,22,69,3,3,0,vazquch01
Brandon Crawford,SFG,118,407,50,94,15,2,9,52,1,1,39,98,8,4,3,crawfbr01
José Iglesias,COL,118,439,48,128,30,0,3,47,2,3,17,56,8,3,0,iglesjo01
Starling Marte,NYM,118,466,76,136,24,5,16,63,18,9,26,97,13,0,0,martest01
Rafael Ortega,CHC,118,316,35,76,14,1,7,35,12,7,44,74,2,7,2,ortegra01
Franmil Reyes,TOT,118,438,43,97,17,2,14,47,2,1,30,157,2,3,0,reyesfr01
Darin Ruf,TOT,118,334,52,68,12,0,11,45,2,0,45,105,6,3,0,rufda01
Chris Taylor,LAD,118,402,45,89,25,3,10,43,10,1,44,160,5,3,2,tayloch03
Ramon Urias,BAL,118,403,50,100,17,1,16,51,1,0,30,98,5,4,1,uriasra01
Jared Walsh,LAA,118,423,41,91,18,2,15,44,2,1,27,138,4,0,4,walshja01
Bobby Dalbec,BOS,117,317,40,68,9,2,12,39,3,0,29,118,3,4,0,dalbebo01
Matt Vierling,PHI,117,325,41,80,12,2,6,32,7,4,23,70,3,6,0,vierlma01
J.D. Davis,TOT,115,318,46,79,16,1,12,35,1,1,39,122,6,2,1,davisjd01
Bryan De La Cruz,MIA,115,329,38,83,20,0,13,43,4,0,19,90,2,4,0,delacbr01
Ben Gamel,PIT,115,371,42,86,20,2,9,46,5,1,48,98,3,1,2,gamelbe01
Max Kepler,MIN,115,388,54,88,18,1,9,43,3,2,49,66,5,4,1,keplema01
Jose Trevino,NYY,115,335,39,83,12,1,11,43,2,1,15,62,2,1,0,trevijo01
Michael Harris,ATL,114,414,75,123,27,3,19,64,20,2,21,107,5,0,0,harrimi04
Salvador Perez,KCR,114,445,48,113,23,1,23,76,0,0,18,109,7,3,2,perezsa02
Jacob Stallings,MIA,114,346,25,77,12,0,4,34,0,1,29,83,6,2,0,stallja01
Ji-Man Choi,TBR,113,356,36,83,22,0,11,52,0,0,58,123,2,3,3,choiji01
Willson Contreras,CHC,113,416,65,101,23,2,22,55,4,2,45,103,24,2,0,contrwi01
Yonathan Daza,COL,113,372,56,112,21,2,2,34,0,3,26,58,4,5,0,dazayo01
Martin Maldonado,HOU,113,344,40,64,12,0,15,45,0,0,22,116,7,2,0,maldoma01
Christopher Morel,CHC,113,379,55,89,19,4,16,47,10,7,38,137,3,2,0,morelch01
Adley Rutschman,BAL,113,398,70,101,35,1,13,42,4,0,65,86,4,3,0,rutscad01
Alek Thomas,ARI,113,381,45,88,17,1,8,39,4,3,22,74,3,5,0,thomaal01
Miguel Cabrera,DET,112,397,25,101,10,0,5,43,1,0,28,101,3,5,3,cabremi01
