name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
Yu Chang,TOT,AL,51,126,14,28,5,0,3,13,0,0,12,41,1,2,0,changyu01
Yu Chang,CLE,AL,4,10,0,0,0,0,0,0,0,0,0,7,0,0,0,changyu01
Yu Chang,PIT,NL,18,42,5,7,1,0,1,2,0,1,4,18,3,0,0,changyu01
Yu Chang,TBR,AL,36,96,11,25,3,0,3,12,0,0,7,27,0,2,0,changyu01
Yu Chang,BOS,AL,11,20,3,3,2,0,0,1,0,0,5,7,1,0,0,changyu01
Matt Chapman,TOR,AL,155,538,83,123,27,1,27,76,2,2,68,170,10,5,1,chapmma01
Michael Chavis,PIT,NL,129,401,39,92,16,3,14,49,1,1,19,126,2,4,1,chavimi01
Robinson Chirinos,BAL,AL,67,195,10,35,9,0,4,22,1,0,19,67,4,1,0,chiriro01
Jazz Chisholm Jr.*,MIA,NL,60,213,39,54,10,4,14,45,12,5,21,66,3,3,0,chishja01
Ji-Man Choi*,TBR,AL,113,356,36,83,22,0,11,52,0,0,58,123,2,3,3,choiji01
Taylor Clarke,KCR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clarkta01
Kody Clemens*,DET,AL,56,117,13,17,4,0,5,17,1,0,8,33,0,2,0,clemeko01
Ernie Clement,TOT,AL,69,163,19,30,4,0,0,6,0,1,11,26,2,1,0,clemeer01
Ernie Clement,CLE,AL,63,145,18,29,3,0,0,6,0,1,11,24,2,1,0,clemeer01
Ernie Clement,OAK,AL,6,18,1,1,1,0,0,0,0,0,0,2,0,0,0,clemeer01
Dylan Coleman,KCR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colemdy01
Zack Collins*,TOT,MLB,36,97,9,15,4,0,4,11,0,0,9,41,1,1,0,colliza01
Zack Collins*,TOR,AL,26,72,7,14,4,0,4,10,0,0,6,31,1,0,0,colliza01
Zack Collins*,PIT,NL,10,25,2,1,0,0,0,1,0,0,3,10,0,1,0,colliza01
Alex Colome,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colomal01
Mark Contreras*,MIN,AL,28,58,9,7,1,0,3,6,1,0,1,21,1,1,0,contrma01
